,X,player.x,pos.x,age.x,tm.x,g.x,mp.x,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,obpm,dbpm,bpm,vorp,mp.y,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ftpercent,pts,FGM_0_5,FGA_0_5,FGP_0_5,FGM_5_9,FGA_5_9,FGP_5_9,FGM_10_14,FGA_10_14,FGP_10_14,FGM_15_19,FGA_15_19,FGP_15_19,FGM_20_24,FGA_20_24,FGP_20_24,FGM_25_29,FGA_25_29,FGP_25_29
247,247,Dwight Powell,C,26,DAL,79,1672,18.8,0.656,0.195,0.43,8.7,21.3,14.7,8.5,2,1.7,10.3,15.5,4.6,2.1,6.6,1.1,1.6,2.7,2,21.2,3.2,5.4,0.593,0.4,1.1,0.333,2.9,4.4,0.656,0.626,0.719,8.5,2.6,3.5,73.6,0.1,0.3,26.9,0.1,0.1,40,0.1,0.2,35.3,0.3,0.7,39.2,0.2,0.6,29.8
248,248,Norman Powell,SG,24,TOR,70,1062,8.5,0.492,0.497,0.104,1.5,10.9,6.3,11.8,1.7,1.2,14.4,18.9,-0.6,1.2,0.6,-2.5,-0.4,-2.8,-0.2,15.2,2.1,5.3,0.401,0.8,2.7,0.285,1.4,2.7,0.516,0.472,0.821,5.5,1,1.9,54.2,0.2,0.4,52.2,0.1,0.2,45.5,0.1,0.3,25,0.4,1.4,30.9,0.4,1.4,29.8
249,249,Ivan Rabb,PF,20,MEM,36,516,16.6,0.599,0,0.237,11.6,24.1,17.7,10.4,1.2,2.4,17.3,17.7,0.7,0.5,1.2,-1.7,0.3,-1.5,0.1,14.3,2.4,4.2,0.566,0,0,0,2.4,4.2,0.566,0.566,0.806,5.6,1.5,2.3,64.1,0.2,0.4,50,0.3,0.6,47.6,0.5,0.9,51.7,0.1,0.3,40,0,0,0
250,250,Julius Randle,C,23,LAL,82,2190,19.9,0.606,0.05,0.47,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,4,2.6,6.6,0.4,0.6,0.9,1.6,26.7,6.1,11,0.558,0.1,0.5,0.222,6,10.5,0.575,0.563,0.718,16.1,5.1,7.7,66.3,0.6,1.8,35.3,0.1,0.4,37.9,0.1,0.4,23.5,0.1,0.3,29.2,0.1,0.4,22.9
251,251,Zach Randolph,PF,36,SAC,59,1508,17.3,0.529,0.193,0.14,7,23.7,15,14.9,1.4,0.6,12.5,27.6,0.3,1.2,1.5,-0.6,-1.2,-1.8,0.1,25.6,6.1,12.9,0.473,0.9,2.5,0.347,5.3,10.4,0.503,0.507,0.785,14.5,2.7,4.2,64.5,1.1,2.5,42.6,0.4,1.2,32.4,0.9,2,46.2,0.5,1.4,35.7,0.6,1.7,34.7
252,252,J.J. Redick,SG,33,PHI,70,2116,15.9,0.614,0.523,0.248,0.5,8.3,4.5,15.1,0.8,0.2,9.6,21.7,4.8,1.8,6.6,2.6,-2.6,0,1.1,30.2,5.8,12.6,0.46,2.8,6.6,0.42,3,6,0.504,0.569,0.904,17.1,0.7,1.2,59.5,0.1,0.3,31.6,0.3,0.6,48.8,1,2,50,1.7,3.6,48,1.9,4.8,39.6
253,253,Josh Richardson,SF,24,MIA,81,2689,13.6,0.551,0.38,0.16,2.9,9,6,13.2,2.3,2.4,12.9,18.2,1.8,3.5,5.4,-0.1,1.5,1.4,2.3,33.2,4.9,10.9,0.451,1.6,4.1,0.378,3.4,6.8,0.495,0.523,0.845,12.9,1.7,2.9,59.1,0.3,0.8,41.2,0.5,1,47.1,0.6,1.5,39.5,0.8,2.2,36,1,2.5,42.2
254,254,Austin Rivers,SG,25,LAC,61,2057,12.6,0.526,0.447,0.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,1.4,1,2.4,0.8,-1.7,-0.9,0.6,33.7,5.6,13.2,0.424,2.2,5.9,0.378,3.4,7.3,0.461,0.508,0.642,15.1,2.6,4.8,53.1,0.4,1.3,31.3,0.3,0.8,34,0.1,0.3,37.5,0.8,2,39.5,1.5,4,36.6
255,255,Andre Roberson,SG,26,OKC,39,1037,10.9,0.543,0.222,0.235,7.8,12.2,9.9,6,2.2,3.1,14.4,8.6,0.8,1.3,2.2,-1.3,2.8,1.5,0.9,26.6,2.2,4.2,0.537,0.2,0.9,0.222,2,3.2,0.627,0.562,0.316,5,2,3.2,63.7,0,0,0,0,0,0,0,0,0,0.1,0.7,19.2,0.1,0.2,37.5
256,256,Rajon Rondo,PG,31,NOP,65,1705,15.3,0.522,0.304,0.093,2,14.2,8.4,42.2,2,0.5,22.7,16.9,1.9,1.7,3.6,-0.4,-0.7,-1.1,0.4,26.2,3.6,7.6,0.468,0.8,2.3,0.333,2.8,5.3,0.526,0.518,0.543,8.3,2.1,3.6,58,0.3,0.6,51.2,0.1,0.3,50,0.2,0.6,32.5,0.5,1.6,30.7,0.4,1,37.1
