,X,player.x,pos.x,age.x,tm.x,g.x,mp.x,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,obpm,dbpm,bpm,vorp,mp.y,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ftpercent,pts,FGM_0_5,FGA_0_5,FGP_0_5,FGM_5_9,FGA_5_9,FGP_5_9,FGM_10_14,FGA_10_14,FGP_10_14,FGM_15_19,FGA_15_19,FGP_15_19,FGM_20_24,FGA_20_24,FGP_20_24,FGM_25_29,FGA_25_29,FGP_25_29
289,289,Anthony Tolliver,PF,32,DET,79,1757,13.9,0.663,0.773,0.282,3.1,12.3,7.6,7.5,0.9,1.1,9.9,14.8,3.8,1.5,5.3,2.3,-0.8,1.5,1.5,22.2,2.8,6,0.464,2,4.6,0.436,0.8,1.4,0.561,0.632,0.797,8.9,0.6,1,63.3,0.1,0.2,28.6,0,0.1,37.5,0,0,33.3,0.7,1.8,41,1.3,2.9,45.4
290,290,Karl-Anthony Towns,C,22,MIN,82,2918,24.9,0.646,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,10.6,3.4,14,4.4,1.1,5.5,5.5,35.6,7.8,14.3,0.545,1.5,3.5,0.421,6.3,10.8,0.585,0.596,0.858,21.3,4.1,5.9,68.4,1.1,2.5,46,0.5,1.1,43.8,0.5,1,44.6,0.8,1.5,54.3,0.8,2.2,36.8
291,291,P.J. Tucker,PF,32,HOU,82,2281,8.3,0.537,0.703,0.136,4.6,17.8,11.3,4.6,1.7,1,13.7,10.5,1,3,3.9,-1.5,1.5,0,1.2,27.8,2.1,5.4,0.39,1.4,3.8,0.371,0.7,1.6,0.435,0.52,0.717,6.1,0.5,1,54.4,0.1,0.3,23.8,0,0.1,20,0,0.1,33.3,1.2,3.1,40.3,0.2,0.9,24.7
292,292,Evan Turner,SF,29,POR,79,2034,9.9,0.52,0.229,0.185,1.6,11.4,6.5,12.4,1.1,1.2,13.7,15.6,0.5,2.1,2.6,-2.4,0.6,-1.8,0.1,25.7,3.3,7.3,0.447,0.5,1.7,0.318,2.7,5.6,0.485,0.484,0.85,8.2,0.7,1.2,63,0.5,1.1,44.3,0.8,1.9,44.9,0.6,1.4,44.9,0.4,1.4,30.8,0.2,0.5,38.9
293,293,Myles Turner,C,21,IND,65,1836,16.6,0.567,0.246,0.322,5.8,19.8,12.8,7,1,5.7,11.6,20,2.2,2.5,4.7,-1.1,1.8,0.7,1.3,28.2,4.7,9.8,0.479,0.9,2.4,0.357,3.8,7.4,0.519,0.523,0.777,12.7,1.8,3,59.8,0.3,0.6,46.2,0.2,0.6,38.1,1.1,2.2,48.6,0.6,1.3,43.5,0.8,2,37.4
294,294,Ekpe Udoh,C,30,UTA,63,810,15.2,0.56,0.008,0.467,9.6,11.4,10.5,9.1,2.7,7.7,12.1,9.1,1.3,1.8,3.2,-1.1,6.8,5.7,1.6,12.9,1,1.9,0.5,0,0,0,1,1.9,0.504,0.5,0.75,2.6,0.7,1.1,65.3,0.2,0.5,33.3,0,0.2,23.1,0,0.1,0,0,0,0,0,0,0
295,295,Tyler Ulis,PG,22,PHO,71,1658,10.1,0.465,0.265,0.183,1.5,6.8,4.1,28,2,0.3,17.6,18.5,-0.7,0.5,-0.2,-2.8,-2.4,-5.2,-1.3,23.4,3,7.8,0.388,0.6,2.1,0.288,2.4,5.7,0.425,0.426,0.832,7.8,0.5,1.3,40,0.3,0.7,46.9,0.9,1.9,46.2,0.6,1.7,38.3,0.2,0.8,27.3,0.4,1.3,32.6
296,296,Jonas Valanciunas,C,25,TOR,77,1727,22.5,0.628,0.108,0.307,12.1,30.3,21.4,7.5,0.8,3.2,12.9,22.7,4.6,3,7.6,0.7,0.8,1.5,1.5,22.4,5.1,8.9,0.568,0.4,1,0.405,4.7,8,0.587,0.59,0.806,12.7,3.4,5.1,65.8,0.8,1.8,45.3,0.3,0.7,40.4,0.2,0.3,70,0.1,0.3,29.2,0.3,0.7,44.4
297,297,Denzel Valentine,SG,24,CHI,77,2095,12.1,0.527,0.513,0.071,2.4,18.3,10.1,17.8,1.5,0.5,11.8,17.5,1,1.5,2.5,-0.4,-0.1,-0.5,0.8,27.2,3.9,9.4,0.417,1.9,4.8,0.386,2.1,4.6,0.45,0.517,0.745,10.2,0.8,1.4,56.1,0.4,0.8,42.2,0.4,1,43.4,0.3,0.9,35.3,0.9,2.4,36.4,1.1,2.8,41.5
298,298,Fred VanVleet,PG,23,TOR,76,1520,15.9,0.556,0.479,0.185,1.9,11.5,6.8,22.8,2.2,1,11.2,19.1,2.7,2,4.7,1.9,0.1,1.9,1.5,20,3.1,7.2,0.426,1.4,3.4,0.414,1.6,3.7,0.437,0.525,0.832,8.6,1.4,2.9,49.1,0.1,0.4,32.3,0,0.2,5.9,0.1,0.2,33.3,0.7,1.5,44.8,0.8,1.9,40.1
299,299,Nikola Vucevic,C,27,ORL,57,1683,19.7,0.533,0.243,0.112,6.6,27.8,17.1,19.9,1.6,3,11,25.9,1.3,2.3,3.6,0.6,2.1,2.7,2,29.5,7,14.7,0.475,1.1,3.6,0.314,5.9,11.2,0.527,0.513,0.819,16.5,2.8,3.9,71.5,1.1,2.6,44.5,0.7,1.9,37.4,0.9,1.9,48.6,0.5,1.5,35.7,0.9,3.1,30.5
300,300,Dion Waiters,SG,26,MIA,30,918,10.5,0.487,0.415,0.168,1,8.5,4.7,19.8,1.3,0.8,13.7,25,-0.7,0.8,0.1,-2.1,-2,-4,-0.5,30.6,5.4,13.7,0.398,1.7,5.7,0.306,3.7,8,0.463,0.461,0.739,14.3,2.5,4.4,55.6,0.2,0.6,26.3,0.2,0.5,42.9,0.5,1.6,34,1.2,3,39.3,0.9,3.5,26
301,301,Kemba Walker,PG,27,CHO,80,2736,20.6,0.572,0.441,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,6.5,2,8.6,5.1,-1.9,3.2,3.6,34.2,7.4,17,0.431,2.9,7.5,0.384,4.5,9.5,0.469,0.516,0.864,22.1,2.4,4.5,52.9,0.3,0.9,36.2,0.6,1.3,42.5,1,2.4,42.9,0.7,1.7,40.9,2.4,6.1,39.1
302,302,John Wall,PG,27,WAS,41,1410,19.1,0.515,0.25,0.361,1.8,10.2,6,44.5,2,2.8,17,29.1,1.2,1.5,2.7,1.6,0,1.5,1.2,34.4,6.8,16.3,0.42,1.5,4.1,0.371,5.3,12.2,0.436,0.466,0.726,19.4,3.4,5.8,59.3,0.3,0.8,34.4,0.3,1.1,29.5,1.1,3.7,30.7,0.5,1.6,30.8,1.2,3.2,37.1
303,303,Tyrone Wallace,PG,23,LAC,30,851,10.1,0.517,0.162,0.316,2.7,10.7,6.8,11.8,1.5,1.3,14.1,16.6,0.2,0.5,0.7,-2.1,0.2,-2,0,28.4,3.7,8.2,0.445,0.3,1.3,0.25,3.3,6.9,0.483,0.466,0.782,9.7,2.3,4,57.5,0.6,1.5,38.6,0.3,1.1,30.3,0.1,0.3,40,0.3,0.9,29.6,0.1,0.4,16.7
304,304,Taurean Waller-Prince,SF,23,ATL,82,2464,12.8,0.549,0.469,0.185,2.3,15.3,8.8,13.9,1.7,1.5,15.3,22.1,0,2,2,-0.7,0,-0.7,0.8,30,5.1,11.9,0.426,2.1,5.6,0.385,2.9,6.3,0.461,0.516,0.844,14.1,1.9,3.4,57.6,0.4,1.1,37.5,0.3,1,35.9,0.2,0.7,21.7,1.1,2.9,38.9,1.1,2.9,38.6
305,305,T.J. Warren,SF,24,PHO,65,2142,17.6,0.541,0.085,0.24,6.1,10.5,8.3,7.2,1.5,1.5,6.7,24.9,2.6,0.8,3.4,-0.1,-1.7,-1.9,0.1,33,8.1,16.4,0.498,0.3,1.4,0.222,7.8,15,0.523,0.507,0.757,19.6,4.6,7,65.2,0.9,2.2,40,1.2,2.6,43.9,1,2.6,39.6,0.4,1.3,27.7,0.2,0.6,23.8
306,306,David West,C,37,GSW,73,999,20.9,0.6,0.021,0.209,7.7,18.2,13.3,20.5,2.3,5.9,16.2,21.7,1.8,1.7,3.5,-0.2,3.2,3,1.3,13.7,3,5.2,0.571,0,0.1,0.375,2.9,5.1,0.576,0.575,0.759,6.8,1.5,2,73.8,0.3,0.8,38.2,0.4,0.8,54.4,0.7,1.3,51.6,0.1,0.3,25,0,0.1,50
307,307,Russell Westbrook,PG,29,OKC,80,2914,24.7,0.524,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,5.5,4.5,10.1,5.1,3.1,8.2,7.5,36.4,9.5,21.1,0.449,1.2,4.1,0.298,8.3,17,0.485,0.477,0.737,25.4,5,8.6,58,0.3,0.9,38.6,1,2.6,37.6,1.6,4,39.3,0.8,2.3,35.8,0.8,2.6,29
308,308,Hassan Whiteside,C,28,MIA,54,1364,24.1,0.573,0.003,0.315,14.3,36.6,25.4,6.9,1.4,5.9,12.3,24.7,2.3,3,5.3,-2.1,2.3,0.2,0.8,25.3,5.8,10.7,0.54,0,0,1,5.7,10.7,0.538,0.542,0.703,14,3.9,5.9,66.3,0.9,2.2,42.1,0.5,1.4,32.5,0.4,0.9,40.8,0,0.2,22.2,0,0,100
309,309,Andrew Wiggins,SF,22,MIN,82,2979,13,0.505,0.26,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,-1.1,-1.4,-2.5,-0.4,36.3,6.9,15.9,0.438,1.4,4.1,0.331,5.6,11.7,0.475,0.481,0.643,17.7,3,4.5,65.6,0.9,1.9,44,0.7,1.9,34.8,0.8,2.3,33.5,0.9,2.6,35.2,0.8,2.5,30.5
310,310,C.J. Williams,SG,27,LAC,38,707,9.5,0.512,0.396,0.081,1.9,6.7,4.4,8.5,2.1,1.5,8.9,13.7,0.3,0.5,0.7,-1.3,-0.1,-1.4,0.1,18.6,2.3,5.2,0.442,0.6,2.1,0.282,1.7,3.1,0.546,0.497,0.813,5.5,1.1,1.4,73.1,0.2,0.6,33.3,0.3,0.6,50,0.2,0.5,38.9,0.4,1.3,30.4,0.3,1,26.3
311,311,Lou Williams,SG,31,LAC,79,2589,20.2,0.574,0.387,0.367,1.7,6.6,4.2,26.3,1.6,0.6,13.1,29.8,5.5,1.2,6.7,3.8,-2.9,1,2,32.8,7.4,16.9,0.435,2.4,6.6,0.359,5,10.4,0.484,0.505,0.88,22.6,2.6,4.5,56.3,0.6,1.7,38.1,0.8,1.6,49.6,0.8,1.9,40.8,1,2.8,36.3,1.5,4.1,37
312,312,Marvin Williams,PF,31,CHO,78,2006,13.9,0.603,0.542,0.218,3.9,16.2,10,7,1.4,1.6,9.7,14.8,3.1,1.9,5,1.1,0.5,1.7,1.9,25.7,3.3,7.2,0.458,1.6,3.9,0.413,1.7,3.3,0.512,0.57,0.829,9.5,1.1,1.9,55.8,0.4,0.8,50.8,0.2,0.4,41.9,0,0.1,25,0.6,1.7,37.4,1,2.4,44
313,313,Justise Winslow,PF,21,MIA,68,1680,11.5,0.496,0.264,0.213,4.3,20.5,12.4,13,1.6,1.7,12.6,16.3,0.2,2.4,2.6,-2.7,1.7,-1,0.4,24.7,3,7.2,0.424,0.7,1.9,0.38,2.3,5.3,0.44,0.474,0.635,7.8,1.8,3.3,54.7,0.3,1.1,30.6,0.1,0.5,22.6,0.1,0.3,27.8,0.6,1.6,37.7,0.1,0.5,31.3
314,314,Delon Wright,PG,25,TOR,69,1433,16.5,0.574,0.354,0.271,3.6,11.7,7.7,19.6,2.5,1.8,13.9,17.2,2.5,2.1,4.5,1.2,1.6,2.8,1.7,20.8,2.9,6.3,0.465,0.8,2.2,0.366,2.1,4,0.52,0.53,0.829,8,1.8,3.2,57.7,0.2,0.6,29.3,0.1,0.2,36.4,0,0.1,50,0.3,0.8,36.8,0.5,1.3,37
315,315,Joe Young,PG,25,IND,53,558,10.1,0.521,0.355,0.156,2.4,10.3,6.4,9.9,1.3,0.2,11.6,18,0.1,0.4,0.5,-2.4,-2.3,-4.7,-0.4,10.5,1.5,3.5,0.43,0.5,1.2,0.379,1,2.3,0.458,0.497,0.759,3.9,0.5,0.9,53.2,0.1,0.3,41.7,0.2,0.4,50,0.2,0.7,35.3,0.3,0.5,46.2,0.3,0.9,37.8
316,316,Nick Young,SG,32,GSW,80,1393,10,0.562,0.668,0.133,1.7,7.9,5,3.5,1.3,0.4,7,17.5,0.8,0.9,1.7,-0.2,-3.4,-3.6,-0.6,17.4,2.5,6.1,0.412,1.5,4.1,0.377,1,2,0.481,0.538,0.862,7.3,0.3,0.5,70.3,0,0.1,25,0.3,0.5,53.5,0.3,0.7,40.4,0.7,1.9,37.1,0.9,2.3,37.3
317,317,Thaddeus Young,PF,29,IND,81,2607,14.8,0.528,0.209,0.106,8,14.1,11.1,8.5,2.6,1.2,10.4,17.3,2.3,3.2,5.5,0.1,1.4,1.5,2.3,32.2,5.2,10.7,0.487,0.7,2.2,0.32,4.5,8.4,0.531,0.521,0.598,11.8,3.1,5.1,61,0.8,1.8,43.1,0.2,0.6,36.5,0.3,0.8,33.9,0.5,1.2,38.9,0.4,1.2,32.3
318,318,Cody Zeller,C,25,CHO,33,627,15.9,0.602,0.019,0.545,11.4,19.3,15.3,7.4,1.1,2.8,14.6,15.7,1.2,0.7,1.9,-0.6,1.3,0.7,0.4,19,2.6,4.7,0.545,0.1,0.1,0.667,2.5,4.6,0.542,0.551,0.718,7.1,2,3.5,57.9,0.2,0.5,46.7,0,0.1,50,0.1,0.3,44.4,0.2,0.4,42.9,0,0.1,50
319,319,Paul Zipser,SF,23,CHI,54,824,5.2,0.445,0.47,0.107,1.6,16,8.5,8,1.2,1.6,14.9,15.2,-1.1,0.6,-0.6,-5.5,-0.3,-5.9,-0.8,15.3,1.5,4.3,0.346,0.7,2,0.336,0.8,2.3,0.355,0.425,0.76,4,0.5,0.8,55.6,0.1,0.3,16.7,0.1,0.3,28.6,0.2,0.6,25.8,0.4,1.1,36.7,0.4,1.2,28.8
320,320,Luke Babbitt,SF,28,TOT,50,715,9.8,0.576,0.726,0.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15,0.5,0.4,0.9,-1,-2.2,-3.2,-0.2,14.3,1.8,4.3,0.423,1.2,3.1,0.385,0.6,1.2,0.525,0.563,0.773,5.2,0.1,0.2,58.3,0.1,0.2,55.6,0.1,0.3,33.3,0.3,0.4,60,0.7,1.5,44.6,0.6,1.8,34.1
321,321,Marco Belinelli,SG,31,TOT,80,1947,14.1,0.581,0.517,0.213,1.1,7.3,4.3,11.9,1.6,0.5,10.1,20.7,2.4,1.3,3.7,0.8,-2.1,-1.3,0.3,24.3,4.2,9.6,0.441,1.9,4.9,0.377,2.4,4.6,0.509,0.539,0.908,12.1,0.9,1.4,62.6,0.1,0.2,26.3,0.2,0.4,54.8,0.6,1.4,40.4,1.2,2.8,44.4,1.2,3.2,38.1
322,322,Eric Bledsoe,PG,28,TOT,74,2322,19.7,0.582,0.364,0.321,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,3.1,2.5,5.6,2.5,-0.3,2.1,2.4,31.4,6.3,13.4,0.473,1.7,4.9,0.347,4.6,8.5,0.545,0.536,0.795,17.7,3,4.5,65.2,0.4,1,41.3,0.5,1.1,44.3,0.6,1.4,42.5,0.6,1.8,35.1,1.2,3.4,36.4
323,323,Trevor Booker,PF,30,TOT,68,1158,14.9,0.557,0.096,0.271,11.1,18.6,14.9,10.8,1.2,1.5,13.3,16.6,1.6,1.3,2.9,-1,0.5,-0.5,0.4,17,2.6,5,0.516,0.1,0.5,0.242,2.5,4.6,0.545,0.528,0.71,6.3,1.7,2.7,61.7,0.6,1.3,48.9,0.1,0.3,30,0.1,0.3,36.8,0.1,0.2,25,0.1,0.2,25
324,324,Avery Bradley,SG,27,TOT,46,1433,9.6,0.496,0.325,0.131,1.7,7.3,4.5,10.4,1.8,0.5,13.3,23.5,-1.4,1.2,-0.2,-2.8,-1.4,-4.2,-0.8,31.2,5.6,13.6,0.414,1.6,4.4,0.369,4,9.2,0.436,0.474,0.768,14.3,2.1,3.8,55.5,0.4,1.1,34,0.4,1.1,33.3,0.8,2,40.7,1.2,3.3,36.4,0.8,2.3,33.3
325,325,Corey Brewer,SF-SG,31,TOT,72,1208,11.2,0.534,0.348,0.285,3.8,10,6.9,7.5,3.2,1,12.1,14.3,0.7,1.6,2.3,-1.6,1,-0.6,0.4,16.8,2,4.4,0.449,0.4,1.5,0.282,1.5,2.9,0.539,0.498,0.722,5.3,1.4,2.5,56.7,0.1,0.2,30.8,0,0.1,0,0,0.1,42.9,0.4,1.2,32.6,0.1,0.3,25
326,326,Jordan Clarkson,SG,25,TOT,81,1888,16.4,0.542,0.333,0.199,3.3,9.1,6.2,19.3,1.5,0.3,10.9,26.5,1.9,1.2,3,0.8,-2.7,-1.9,0.1,23.3,5.3,11.8,0.451,1.4,3.9,0.352,3.9,7.9,0.5,0.509,0.8,13.9,2.1,3.6,59.8,0.4,1,40.3,0.6,1.3,44.2,0.6,1.6,40.6,0.7,1.7,41.1,0.9,2.6,32.7
327,327,Jae Crowder,SF,27,TOT,80,2090,10.4,0.525,0.508,0.221,3.2,11.5,7.4,6.9,1.5,0.9,9.1,17.3,1,1.6,2.6,-0.8,-0.9,-1.7,0.1,26.1,3.4,8.4,0.404,1.4,4.3,0.323,2,4.1,0.488,0.486,0.818,9.7,1.5,2.5,61.6,0.1,0.2,21.1,0.1,0.3,33.3,0.2,0.5,28.6,0.9,2.6,33.7,0.7,2.3,30.8
328,328,Dante Cunningham,SF,30,TOT,73,1562,10,0.539,0.462,0.143,5.5,14.9,10.3,4.3,1.2,1.5,7.9,11.6,1.1,1.3,2.4,-1.4,0.1,-1.4,0.2,21.4,2.2,5,0.451,0.8,2.3,0.345,1.5,2.7,0.541,0.53,0.596,5.7,1.2,2,61.4,0,0.2,16.7,0,0.2,23.1,0.1,0.2,42.9,0.7,1.9,38.6,0.1,0.5,26.5
329,329,James Ennis,SF,27,TOT,72,1604,11.6,0.588,0.398,0.302,5.1,11,8,6.6,1.5,1,11.4,13.7,2,1.1,3.1,-0.6,-0.5,-1.1,0.4,22.3,2.5,5.3,0.474,0.7,2.1,0.333,1.8,3.2,0.567,0.54,0.836,7.1,1.4,2.3,62.8,0.1,0.2,31.3,0.1,0.3,47.6,0.1,0.2,41.2,0.4,1.2,34.5,0.4,1.1,34.6
330,330,Channing Frye,C,34,TOT,53,695,13.1,0.599,0.542,0.09,1.9,19.4,10.8,7.9,1.3,1.6,8.7,15.2,0.9,0.6,1.5,-0.7,-1,-1.7,0.1,13.1,2,4,0.491,0.7,2.2,0.339,1.2,1.8,0.67,0.583,0.895,5,0.7,0.9,77.8,0.1,0.1,85.7,0.1,0.2,55.6,0.2,0.3,60,0.5,1.2,37.1,0.5,1.4,35.6
331,331,Blake Griffin,PF,28,TOT,58,1970,19.6,0.544,0.323,0.331,4.1,19.8,12,28.1,1,0.8,12.6,28.9,3.2,1.8,4.9,2.9,-0.1,2.8,2.4,34,7.5,17.2,0.438,1.9,5.6,0.345,5.6,11.6,0.482,0.493,0.785,21.4,4,6.4,62.6,0.7,2.2,33.1,0.1,0.8,18.2,0.5,1.5,35.2,0.9,2.5,34.7,1.2,3.6,33.2
332,332,Devin Harris,PG,34,TOT,71,1340,13,0.563,0.5,0.374,1,9.8,5.3,16.9,1.8,0.8,12.6,20.2,1.6,0.9,2.5,-0.1,-1.9,-2,0,18.9,2.6,6.4,0.412,1.1,3.2,0.348,1.5,3.2,0.476,0.499,0.835,8.4,1.3,2.2,58.2,0.1,0.5,18.2,0.1,0.2,37.5,0.1,0.3,25,0.5,1.5,34.9,0.6,1.6,38.4
333,333,Tobias Harris,PF,25,TOT,80,2668,17.1,0.565,0.364,0.177,2.4,15.7,9,11.8,1.3,1.1,7.4,23.3,4.2,2.5,6.7,1.5,-0.8,0.7,1.8,33.4,7,15.3,0.46,2.3,5.6,0.411,4.7,9.7,0.488,0.535,0.829,18.6,2.4,4.1,58.6,0.8,2,42.1,0.9,2,45.2,0.6,1.4,39.5,0.9,2.3,38.4,1.5,3.5,42.3
334,334,Willy Hernangomez,C,23,TOT,48,495,21.2,0.604,0.073,0.549,13.3,27.2,20.2,10.5,1.8,2.7,14.7,21,1.1,0.7,1.8,0.1,0.8,0.9,0.4,10.3,1.9,3.4,0.555,0.1,0.3,0.417,1.8,3.2,0.566,0.57,0.656,5.1,1.4,2.3,64.2,0.3,0.7,45.2,0.1,0.2,42.9,0,0.2,14.3,0.1,0.1,50,0,0.1,28.6
335,335,George Hill,PG,31,TOT,67,1812,13.3,0.58,0.4,0.273,2.6,8.9,5.7,15,1.7,1.3,13.3,16.3,2.3,0.9,3.2,0.3,-0.9,-0.6,0.6,27,3.5,7.7,0.46,1.3,3.1,0.415,2.3,4.6,0.49,0.543,0.786,10,1.1,1.6,66.7,0.3,0.9,37.3,0.3,0.7,44.9,0.4,1,38.8,0.9,1.9,44.6,0.5,1.4,36.1
336,336,Rodney Hood,SG,25,TOT,60,1616,14.3,0.546,0.443,0.172,1.6,9.9,5.8,9.7,1.4,0.6,8,24.3,1.2,1.5,2.7,0.2,-2.2,-2,0,26.9,5.4,12.5,0.429,2.1,5.6,0.381,3.3,7,0.467,0.513,0.86,14.7,1,1.6,59.2,0.7,1.5,43.3,0.7,1.7,44.4,0.6,1.6,38.5,1,2.5,39.9,1.4,3.5,39.2
337,337,Ersan Ilyasova,PF,30,TOT,69,1729,14.9,0.558,0.413,0.22,7.6,18,12.9,7.9,1.7,1.3,9.7,18.7,2.2,1.9,4,0.2,-0.1,0.1,0.9,25.1,4,8.9,0.452,1.3,3.7,0.36,2.7,5.2,0.517,0.526,0.778,10.9,1.9,3.1,59,0.1,0.4,33.3,0.2,0.5,47.2,0.3,0.7,39.2,0.8,2.1,39.9,0.7,1.9,33.6
338,338,Mike James,PG,27,TOT,36,687,13.9,0.469,0.305,0.262,2,12.2,7,29.4,2,0.8,12,25.1,-0.1,0.3,0.2,-0.9,-1.8,-2.6,-0.1,19.1,3.4,8.9,0.383,0.7,2.7,0.265,2.7,6.2,0.435,0.424,0.762,9.3,1.5,2.9,52.4,0.5,1,45.9,0.3,0.8,40,0.3,1.1,27,0.5,1.3,37.8,0.4,1.7,21
339,339,Joe Johnson,SF,36,TOT,55,1205,8.1,0.49,0.403,0.125,1.3,14.7,8.1,10.2,0.7,0.5,11.4,15.9,-0.3,1.3,1,-3.4,-0.4,-3.8,-0.5,21.9,2.7,6.5,0.406,0.7,2.6,0.276,1.9,3.9,0.493,0.461,0.889,6.8,0.3,0.5,63,0.7,1.3,50.7,0.4,1,43.6,0.4,0.8,48.9,0.5,1.7,30.8,0.3,1.2,26.9
340,340,Sean Kilpatrick,SG,28,TOT,52,640,11.6,0.507,0.49,0.245,0.8,14.2,7.5,11.3,1,0.7,10.4,24.9,-0.2,0.3,0.1,-2.5,-3.6,-6.1,-0.7,12.3,2.1,5.7,0.374,0.9,2.8,0.319,1.2,2.9,0.427,0.452,0.889,6.3,0.8,1.5,52.6,0.1,0.5,29.2,0.1,0.3,30.8,0.2,0.6,38.5,0.5,1.7,28.9,0.5,1.3,36.4
341,341,DeAndre Liggins,SG,29,TOT,58,724,6,0.467,0.5,0.047,1.1,10.6,5.9,8.4,2.5,1.6,15.6,7.9,-0.2,0.7,0.5,-3.4,1.2,-2.2,0,12.5,0.7,1.8,0.377,0.3,0.9,0.358,0.4,0.9,0.396,0.467,0.4,1.7,0.2,0.4,36,0.1,0.1,50,0,0,0,0.1,0.1,37.5,0.3,0.9,32.7,0.2,0.3,56.3
342,342,Doug McDermott,SF,26,TOT,81,1768,10.4,0.579,0.425,0.159,2.5,10.2,6.3,6.5,0.5,0.8,9.3,15,1.7,0.6,2.3,-0.7,-1.7,-2.4,-0.2,21.8,2.9,6.3,0.467,1.1,2.7,0.426,1.8,3.6,0.497,0.557,0.79,7.8,1.3,2.2,61.5,0.2,0.3,44.4,0.1,0.3,34.6,0.1,0.5,23.3,0.6,1.4,42.5,0.6,1.5,41.1
343,343,Nikola Mirotic,PF,26,TOT,55,1494,18.7,0.577,0.523,0.2,4.3,24.9,14.6,8.6,1.4,2.2,7.7,23.4,2.2,1.8,4,1.4,-0.7,0.6,1,27.2,5.6,12.4,0.447,2.5,6.5,0.377,3.1,5.9,0.525,0.546,0.818,15.6,1.8,2.8,64.1,0.5,0.9,55.3,0.3,1,33.3,0.3,0.8,37,1.1,2.6,42.8,1.5,4.3,35.6
344,344,Greg Monroe,C,27,TOT,51,1040,21.2,0.598,0,0.308,11.4,25.2,18.3,18.7,2.1,1.8,17.7,22.4,1.8,1.6,3.4,0.1,2.3,2.4,1.2,20.4,4.3,7.6,0.565,0,0,0,4.3,7.6,0.565,0.565,0.739,10.3,3.5,5.4,64.4,0.5,1.5,33.8,0.1,0.3,38.5,0.2,0.4,50,0,0.1,33.3,0,0,0
345,345,Emmanuel Mudiay,PG,21,TOT,64,1245,11.5,0.474,0.281,0.245,2.3,11.3,6.8,24.5,1.6,0.8,16.2,24.4,-0.8,0.7,0,-2.6,-2.1,-4.7,-0.9,19.5,3.2,8.2,0.388,0.7,2.3,0.318,2.5,5.9,0.415,0.433,0.76,8.6,1.4,2.8,50.6,0.2,0.8,28.8,0.3,1,36.1,0.4,1.2,34.7,0.4,1.1,40.6,0.3,1.3,25.9
346,346,Larry Nance Jr.,C,25,TOT,66,1421,20.2,0.605,0.029,0.332,12.4,22,17.3,8.6,3,2.2,9.7,15.9,3.5,2.3,5.8,0.9,2.4,3.3,1.9,21.5,3.6,6.3,0.581,0,0.2,0.167,3.6,6.1,0.594,0.584,0.664,8.7,2.8,4.1,69.9,0.2,0.5,32.4,0.2,0.4,39.3,0.3,0.8,44,0.1,0.4,28,0,0,33.3
347,347,Jameer Nelson,PG,35,TOT,50,1013,8.1,0.489,0.508,0.082,1.4,9.5,5.6,22.8,1.3,0.3,21,13.7,-0.1,0.7,0.6,-2.6,-1.5,-4,-0.5,20.3,1.9,4.9,0.389,0.8,2.5,0.331,1.1,2.4,0.45,0.473,0.8,4.9,0.5,0.8,64.3,0,0.2,11.1,0.1,0.3,33.3,0.1,0.4,28.6,0.6,1.5,37.7,0.5,1.5,34.7
348,348,Elfrid Payton,PG,23,TOT,63,1808,16.5,0.538,0.138,0.252,3.8,12.8,8.2,34.9,2.2,1,18.5,21.9,1.4,1.4,2.8,0.1,0,0.1,1,28.7,5.2,10.6,0.493,0.5,1.5,0.326,4.7,9.1,0.52,0.516,0.649,12.7,3.4,5.5,62.5,0.6,1.6,36.3,0.4,0.9,39,0.3,0.9,33.9,0.3,0.9,34.5,0.3,0.8,31.4
349,349,Willie Reed,C,27,TOT,42,428,19.2,0.671,0.017,0.455,9.1,21.8,15.5,3.6,1,4.3,11.6,16.6,1,0.5,1.5,-0.8,-0.1,-0.9,0.1,10.2,1.9,2.9,0.669,0,0,0.5,1.9,2.8,0.672,0.674,0.582,4.6,1.4,2,70.7,0.4,0.6,69.6,0.1,0.3,40,0.1,0.1,50,0,0,100,0,0,0
350,350,Nik Stauskas,SG,24,TOT,41,523,9,0.543,0.649,0.188,0.8,12.3,6.5,11.1,0.8,0.6,13.5,15.9,0.1,0.3,0.3,-2.1,-1.8,-4,-0.3,12.8,1.5,3.8,0.39,1,2.4,0.4,0.5,1.3,0.37,0.519,0.724,4.4,0.4,0.7,50,0,0.2,12.5,0,0.1,0,0.1,0.2,25,0.3,0.9,30.6,0.8,1.6,47
